,youtube_id,youtube_url,keyword,na
0,ha3qhnIdJ4I,https://www.youtube.com/watch?v=ha3qhnIdJ4I,tottenham,en
1,HakEldX0xMY,https://www.youtube.com/watch?v=HakEldX0xMY,tottenham,en
2,xB7WwYlwGBU,https://www.youtube.com/watch?v=xB7WwYlwGBU,tottenham,en
3,05GUCglDDwQ,https://www.youtube.com/watch?v=05GUCglDDwQ,tottenham,en
4,EPXU6L78H7o,https://www.youtube.com/watch?v=EPXU6L78H7o,tottenham,en
5,xKDBlehvXBs,https://www.youtube.com/watch?v=xKDBlehvXBs,tottenham,en
6,gMqnZpwVGzU,https://www.youtube.com/watch?v=gMqnZpwVGzU,tottenham,en
7,rDbU78aKGjA,https://www.youtube.com/watch?v=rDbU78aKGjA,tottenham,en
8,WuqPyBa3Kpo,https://www.youtube.com/watch?v=WuqPyBa3Kpo,tottenham,en
9,HErMMeb0wT8,https://www.youtube.com/watch?v=HErMMeb0wT8,tottenham,en
10,xB7WwYlwGBU,https://www.youtube.com/watch?v=xB7WwYlwGBU,tottenham,en
11,FaKNq11yfSQ,https://www.youtube.com/watch?v=FaKNq11yfSQ,tottenham,en
12,6knxZ8Vfcsg,https://www.youtube.com/watch?v=6knxZ8Vfcsg,tottenham,en
13,uZBue7rYT2c,https://www.youtube.com/watch?v=uZBue7rYT2c,tottenham,en
14,8vh-_UQw7Lk,https://www.youtube.com/watch?v=8vh-_UQw7Lk,tottenham,en
15,d0H70fcI5ow,https://www.youtube.com/watch?v=d0H70fcI5ow,tottenham,en
16,nB0-dmyLN8I,https://www.youtube.com/watch?v=nB0-dmyLN8I,tottenham,en
17,5yTH_JUjNOY,https://www.youtube.com/watch?v=5yTH_JUjNOY,tottenham,en
18,05GUCglDDwQ,https://www.youtube.com/watch?v=05GUCglDDwQ,tottenham,en
19,WvwU0Zz8oF8,https://www.youtube.com/watch?v=WvwU0Zz8oF8,tottenham,en
20,4iwkt5gGAEA,https://www.youtube.com/watch?v=4iwkt5gGAEA,tottenham,en
21,SZcsz4MrUh4,https://www.youtube.com/watch?v=SZcsz4MrUh4,tottenham,en
22,w7QKpQp9noI,https://www.youtube.com/watch?v=w7QKpQp9noI,tottenham,en
23,aSZOHbbjafA,https://www.youtube.com/watch?v=aSZOHbbjafA,tottenham,en
24,14B1Gd2n5VE,https://www.youtube.com/watch?v=14B1Gd2n5VE,tottenham,en
25,5WNLMopFiWU,https://www.youtube.com/watch?v=5WNLMopFiWU,tottenham,en
26,yD_19NMlNLA,https://www.youtube.com/watch?v=yD_19NMlNLA,tottenham,en
27,ZGsuN4kGdgM,https://www.youtube.com/watch?v=ZGsuN4kGdgM,tottenham,en
28,78tk55YHbqE,https://www.youtube.com/watch?v=78tk55YHbqE,tottenham,en
29,G3Ip1-g-9kc,https://www.youtube.com/watch?v=G3Ip1-g-9kc,tottenham,en
30,G3Ip1-g-9kc,https://www.youtube.com/watch?v=G3Ip1-g-9kc,tottenham,en
31,4hZcm6-XZ0Q,https://www.youtube.com/watch?v=4hZcm6-XZ0Q,tottenham,en
32,3Z0N2jTS3_k,https://www.youtube.com/watch?v=3Z0N2jTS3_k,tottenham,en
33,ocOXNNnY1dE,https://www.youtube.com/watch?v=ocOXNNnY1dE,tottenham,en
34,RoeSRZUs6h0,https://www.youtube.com/watch?v=RoeSRZUs6h0,tottenham,en
35,YEhdkyvr7TQ,https://www.youtube.com/watch?v=YEhdkyvr7TQ,tottenham,en
