youtube_id,youtube_url,keyword,na
ha3qhnIdJ4I,https://www.youtube.com/watch?v=ha3qhnIdJ4I,tottenham,en
6knxZ8Vfcsg,https://www.youtube.com/watch?v=6knxZ8Vfcsg,tottenham,en
ljacwRnOyrM,https://www.youtube.com/watch?v=ljacwRnOyrM,tottenham,en
xB7WwYlwGBU,https://www.youtube.com/watch?v=xB7WwYlwGBU,tottenham,en
XrDTJu-5Pro,https://www.youtube.com/watch?v=XrDTJu-5Pro,tottenham,en
05GUCglDDwQ,https://www.youtube.com/watch?v=05GUCglDDwQ,tottenham,en
X2j4qj8pdy8,https://www.youtube.com/watch?v=X2j4qj8pdy8,tottenham,en
xnDpT931tgo,https://www.youtube.com/watch?v=xnDpT931tgo,tottenham,en
w7F2oYtD04A,https://www.youtube.com/watch?v=w7F2oYtD04A,tottenham,en
aAPYYPEwdNs,https://www.youtube.com/watch?v=aAPYYPEwdNs,tottenham,en
xKDBlehvXBs,https://www.youtube.com/watch?v=xKDBlehvXBs,tottenham,en
rDbU78aKGjA,https://www.youtube.com/watch?v=rDbU78aKGjA,tottenham,en
HakEldX0xMY,https://www.youtube.com/watch?v=HakEldX0xMY,tottenham,en
Ah09h1dL9ys,https://www.youtube.com/watch?v=Ah09h1dL9ys,tottenham,en
k7FgIPkD-Ws,https://www.youtube.com/watch?v=k7FgIPkD-Ws,tottenham,en
VELcawW3L0w,https://www.youtube.com/watch?v=VELcawW3L0w,tottenham,en
BKInZGOqcZ4,https://www.youtube.com/watch?v=BKInZGOqcZ4,tottenham,en
IxivbEnBtlY,https://www.youtube.com/watch?v=IxivbEnBtlY,tottenham,en
nB0-dmyLN8I,https://www.youtube.com/watch?v=nB0-dmyLN8I,tottenham,en
cErXFjNja4E,https://www.youtube.com/watch?v=cErXFjNja4E,tottenham,en
4BJzJo3XnDs,https://www.youtube.com/watch?v=4BJzJo3XnDs,tottenham,en
4iwkt5gGAEA,https://www.youtube.com/watch?v=4iwkt5gGAEA,tottenham,en
TMKHGvYi0ok,https://www.youtube.com/watch?v=TMKHGvYi0ok,tottenham,en
RJy_qz3jMwQ,https://www.youtube.com/watch?v=RJy_qz3jMwQ,tottenham,en
XOGQ1aNybEY,https://www.youtube.com/watch?v=XOGQ1aNybEY,tottenham,en
i8z7y930RQo,https://www.youtube.com/watch?v=i8z7y930RQo,tottenham,en
NCb4VIxeMiY,https://www.youtube.com/watch?v=NCb4VIxeMiY,tottenham,en
zjL4e4xp3ZQ,https://www.youtube.com/watch?v=zjL4e4xp3ZQ,tottenham,en
JQ275bVIa_4,https://www.youtube.com/watch?v=JQ275bVIa_4,tottenham,en
acrU_K8Oclk,https://www.youtube.com/watch?v=acrU_K8Oclk,tottenham,en
hddPRe3Uuoc,https://www.youtube.com/watch?v=hddPRe3Uuoc,tottenham,en
WuqPyBa3Kpo,https://www.youtube.com/watch?v=WuqPyBa3Kpo,tottenham,en
ZevjC8pJ63g,https://www.youtube.com/watch?v=ZevjC8pJ63g,tottenham,en
FaKNq11yfSQ,https://www.youtube.com/watch?v=FaKNq11yfSQ,tottenham,en
kfHvTwstbtY,https://www.youtube.com/watch?v=kfHvTwstbtY,tottenham,en
t-7dK7UQZRE,https://www.youtube.com/watch?v=t-7dK7UQZRE,tottenham,en
GNnGxyiwOIs,https://www.youtube.com/watch?v=GNnGxyiwOIs,tottenham,en
BWi9jDnvCFs,https://www.youtube.com/watch?v=BWi9jDnvCFs,tottenham,en
NmPbC6aHwIg,https://www.youtube.com/watch?v=NmPbC6aHwIg,tottenham,en
e0otA0K3hNE,https://www.youtube.com/watch?v=e0otA0K3hNE,tottenham,en
Wt-sXiQMGAc,https://www.youtube.com/watch?v=Wt-sXiQMGAc,tottenham,en
pOB32P6g8ww,https://www.youtube.com/watch?v=pOB32P6g8ww,tottenham,en
dnjNhcMsT1c,https://www.youtube.com/watch?v=dnjNhcMsT1c,tottenham,en
OAZlT2nys-8,https://www.youtube.com/watch?v=OAZlT2nys-8,tottenham,en
dNWwQy4CuDw,https://www.youtube.com/watch?v=dNWwQy4CuDw,tottenham,en
kDrKGkGPqjc,https://www.youtube.com/watch?v=kDrKGkGPqjc,tottenham,en
_Y9XSUgSSL4,https://www.youtube.com/watch?v=_Y9XSUgSSL4,tottenham,en
yiXEeKxmMtE,https://www.youtube.com/watch?v=yiXEeKxmMtE,tottenham,en
1Yxjkg0XcXM,https://www.youtube.com/watch?v=1Yxjkg0XcXM,tottenham,en
vLgUiycdLCI,https://www.youtube.com/watch?v=vLgUiycdLCI,tottenham,en
xBqCNDegljk,https://www.youtube.com/watch?v=xBqCNDegljk,tottenham,en
HINd1p6h7jI,https://www.youtube.com/watch?v=HINd1p6h7jI,tottenham,en
KFqvSmsHOzc,https://www.youtube.com/watch?v=KFqvSmsHOzc,tottenham,en
rhb0kXkAH0w,https://www.youtube.com/watch?v=rhb0kXkAH0w,tottenham,en
F-Gqzes0IAU,https://www.youtube.com/watch?v=F-Gqzes0IAU,tottenham,en
TP6zsWjzbrk,https://www.youtube.com/watch?v=TP6zsWjzbrk,tottenham,en
EPXU6L78H7o,https://www.youtube.com/watch?v=EPXU6L78H7o,tottenham,en
F4AeNO2IGww,https://www.youtube.com/watch?v=F4AeNO2IGww,tottenham,en
snOXGnnYFho,https://www.youtube.com/watch?v=snOXGnnYFho,tottenham,en
eBx1oWHEXhs,https://www.youtube.com/watch?v=eBx1oWHEXhs,tottenham,en
prkXlmAgvtY,https://www.youtube.com/watch?v=prkXlmAgvtY,tottenham,en
D2jRLynURPg,https://www.youtube.com/watch?v=D2jRLynURPg,tottenham,en
GU5jderTllw,https://www.youtube.com/watch?v=GU5jderTllw,tottenham,en
Fa5dgAwb4Hg,https://www.youtube.com/watch?v=Fa5dgAwb4Hg,tottenham,en
1BrVy3YtcyA,https://www.youtube.com/watch?v=1BrVy3YtcyA,tottenham,en
kkRfeRpS5pw,https://www.youtube.com/watch?v=kkRfeRpS5pw,tottenham,en
W_3OoU4irFI,https://www.youtube.com/watch?v=W_3OoU4irFI,tottenham,en
VI9RjFCouyM,https://www.youtube.com/watch?v=VI9RjFCouyM,tottenham,en
GfHfuVOO37Q,https://www.youtube.com/watch?v=GfHfuVOO37Q,tottenham,en
gwJQUx2RXe4,https://www.youtube.com/watch?v=gwJQUx2RXe4,tottenham,en
gMqnZpwVGzU,https://www.youtube.com/watch?v=gMqnZpwVGzU,tottenham,en
bQFj-YP3XSQ,https://www.youtube.com/watch?v=bQFj-YP3XSQ,tottenham,en
5yTH_JUjNOY,https://www.youtube.com/watch?v=5yTH_JUjNOY,tottenham,en
TljEwkkE5zA,https://www.youtube.com/watch?v=TljEwkkE5zA,tottenham,en
0vv_KN67bHw,https://www.youtube.com/watch?v=0vv_KN67bHw,tottenham,en
iX0gSOUKAP0,https://www.youtube.com/watch?v=iX0gSOUKAP0,tottenham,en
w-q6r5_O0pY,https://www.youtube.com/watch?v=w-q6r5_O0pY,tottenham,en
AwXgfBzK_L4,https://www.youtube.com/watch?v=AwXgfBzK_L4,tottenham,en
14B1Gd2n5VE,https://www.youtube.com/watch?v=14B1Gd2n5VE,tottenham,en
rgk158rLFHk,https://www.youtube.com/watch?v=rgk158rLFHk,tottenham,en
bFgASIp2O8U,https://www.youtube.com/watch?v=bFgASIp2O8U,tottenham,en
0YxPKX8hZbQ,https://www.youtube.com/watch?v=0YxPKX8hZbQ,tottenham,en
qSKcOTfaUuo,https://www.youtube.com/watch?v=qSKcOTfaUuo,tottenham,en
c61VlZBVVus,https://www.youtube.com/watch?v=c61VlZBVVus,tottenham,en
tI_eBtNViJE,https://www.youtube.com/watch?v=tI_eBtNViJE,tottenham,en
igyLebqUAqU,https://www.youtube.com/watch?v=igyLebqUAqU,tottenham,en
sikMXnZ9ta0,https://www.youtube.com/watch?v=sikMXnZ9ta0,tottenham,en
__UB7gD2oPo,https://www.youtube.com/watch?v=__UB7gD2oPo,tottenham,en
G3Ip1-g-9kc,https://www.youtube.com/watch?v=G3Ip1-g-9kc,tottenham,en
k6b-eSqi438,https://www.youtube.com/watch?v=k6b-eSqi438,tottenham,en
HErMMeb0wT8,https://www.youtube.com/watch?v=HErMMeb0wT8,tottenham,en
BA8vV3zawzw,https://www.youtube.com/watch?v=BA8vV3zawzw,tottenham,en
M0Jys-QVrBw,https://www.youtube.com/watch?v=M0Jys-QVrBw,tottenham,en
oE2T46wtgD4,https://www.youtube.com/watch?v=oE2T46wtgD4,tottenham,en
5NoYm_XOus8,https://www.youtube.com/watch?v=5NoYm_XOus8,tottenham,en
oYOYNvfzPFU,https://www.youtube.com/watch?v=oYOYNvfzPFU,tottenham,en
i9wndK6Mfi8,https://www.youtube.com/watch?v=i9wndK6Mfi8,tottenham,en
t0VJinmRvLg,https://www.youtube.com/watch?v=t0VJinmRvLg,tottenham,en
vXxo9Ni3Fiw,https://www.youtube.com/watch?v=vXxo9Ni3Fiw,tottenham,en
d-4j1hViXjc,https://www.youtube.com/watch?v=d-4j1hViXjc,tottenham,en
cbuZfY2S2UQ,https://www.youtube.com/watch?v=cbuZfY2S2UQ,tottenham,en
LVV0jzdBMwo,https://www.youtube.com/watch?v=LVV0jzdBMwo,tottenham,en
2I_c1rMdwLg,https://www.youtube.com/watch?v=2I_c1rMdwLg,tottenham,en
vNbHxcd6SBI,https://www.youtube.com/watch?v=vNbHxcd6SBI,tottenham,en
6pfY2F3P0jM,https://www.youtube.com/watch?v=6pfY2F3P0jM,tottenham,en
muMiWQmXalc,https://www.youtube.com/watch?v=muMiWQmXalc,tottenham,en
