Tag,channelOwner,title,upload_date,watch_cnt,youtube_id,youtube_url
"""토트넘"",""손흥민"",""Son goal"",""Heung-min Son"",""Son heung min"",""Tottenham"",""Burnley 0-1 Spurs"",""Burnley Spurs"",""Son Burnley"",""Harry Kane""",Tottenham Hotspur,INTERVIEW | HEUNG-MIN SON ON ANOTHER GOAL AND BURNLEY WIN | Burnley 0-1 Spurs,2020-10-26,110131,ha3qhnIdJ4I,https://www.youtube.com/watch?v=ha3qhnIdJ4I
"""Sky Sports"",""Premier League"",""Football League"",""Football"",""Soccer"",""Sky Spors live"",""premier league highlights"",""sky sports football"",""epl other 1920"",""Harry Kane"",""Tottenham'"",""Burnley 0-1 Tottenham"",""Tottenham highlights"",""Heung Min Son"",""Kane"",""Kane Son"",""Heung-Min Son"",""Jose Mourinho"",""England"",""Gareth Bale""",Sky Sports Football,Harry Kane discusses his incredible partnership with Heung-Min Son after win over Burnley,2020-10-26,207542,6knxZ8Vfcsg,https://www.youtube.com/watch?v=6knxZ8Vfcsg
-1,안티푸라민,2020 안티푸라민X손흥민 | 손흥민 에디션 (Volume up ver.),2020-10-14,103493,ljacwRnOyrM,https://www.youtube.com/watch?v=ljacwRnOyrM
"""Burnley 0-1 Spurs"",""Spurs highlights"",""Tottenham Burnley"",""Heung-min Son"",""Harry Kane"",""토트넘"",""손흥민""",Tottenham Hotspur,HIGHLIGHTS | BURNLEY 0-1 SPURS,2020-10-26,939911,xB7WwYlwGBU,https://www.youtube.com/watch?v=xB7WwYlwGBU
"""손흥민"",""SON"",""토트넘"",""유럽축구"",""매치데이투어"",""프리미어리그"",""매데투"",""무리뉴 인터뷰"",""토트넘 인터뷰"",""손흥민 골"",""무리뉴"",""토트넘 번리"",""번리전"",""손흥민 케인""",매치데이투어 matchdaytour,번리 0-1 토트넘,2020-10-26,879559,XrDTJu-5Pro,https://www.youtube.com/watch?v=XrDTJu-5Pro
"""Gareth Bale"",""Spurs LASK"",""LASK"",""Tottenham Hotspur"",""Carlos Vinicius"",""Lucas Moura""",Tottenham Hotspur,HIGHLIGHTS | SPURS 3-0 LASK | Vinicius \u0026 Bale full debuts in Europa League win,2020-10-25,381987,05GUCglDDwQ,https://www.youtube.com/watch?v=05GUCglDDwQ
"""Spurs"",""Tottenham Hotspur"",""Tottenham"",""Football"",""Spurs TV"",""White Hart Lane"",""Soccer"",""EPL"",""Premiership"",""Premier League"",""FA Cup"",""League Cup"",""COYS"",""THFC"",""Goals"",""Highlights"",""Training"",""Skills"",""Tricks"",""Hotspurs""",Tottenham Hotspur,ALL OF HEUNG-MIN SON'S PREMIER LEAGUE GOALS,2020-02-17,2062256,X2j4qj8pdy8,https://www.youtube.com/watch?v=X2j4qj8pdy8
"""박문성"",""축구"",""달수"",""달수네라이브"",""손흥민"",""손흥민골"",""손흥민번리"",""번리손흥민"",""번리토트넘"",""토트넘번리"",""손흥민 번리골""",박문성 '달수네라이브',[후토크] 손흥민 8호골 PL 득점 단독 선두!!! 시즌 10호골 차붐 돌파 [번리vs토트넘],2020-10-26,207304,xnDpT931tgo,https://www.youtube.com/watch?v=xnDpT931tgo
"""손흥민"",""손흥민 아버지"",""EPL"",""토트넘"",""손흥민 인터뷰"",""손흥민 아버지 인터뷰""",MBC스포츠탐험대,\,2020-06-18,1922083,w7F2oYtD04A,https://www.youtube.com/watch?v=w7F2oYtD04A
"""스포티비"",""스포티비뉴스"",""스포츠타임"",""손흥민"",""토트넘"",""무리뉴"",""케인"",""알리"",""SON HEUNG MIN"",""tottenham"",""SOUTHHAMTON"",""축구"",""SOCCER"",""FOOTBALL"",""현지해설"",""현지반응"",""영국"",""PL"",""EPL"",""PREMIER LEAGUE"",""활약상"",""차범근"",""100호골"",""맨유"",""솔샤르"",""맨체스터 유나이티드"",""SON"",""박지성""",스포츠타임,주요 채팅 다시보기,2020-10-04,2169762,aAPYYPEwdNs,https://www.youtube.com/watch?v=aAPYYPEwdNs
"""Spurs squad photo"",""Spurs social distancing"",""social distancing football""",Tottenham Hotspur,BEHIND THE SCENES | FIRST TEAM SQUAD PHOTO,2020-10-24,226111,xKDBlehvXBs,https://www.youtube.com/watch?v=xKDBlehvXBs
